epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,34.2654,0.43641,0.97161,0.8543,0.89016,1,0.995,0.92029,0.3966,1.74438,0.86224,0.00045322,0.00045322,0.00045322
45,34.873,0.45723,0.95969,0.86868,0.89182,1,0.995,0.8955,0.37006,1.8037,0.86202,0.00045408,0.00045408,0.00045408
46,35.4613,0.40196,0.95971,0.85723,0.89182,1,0.995,0.8955,0.37006,1.8037,0.86202,0.0004545,0.0004545,0.0004545
47,36.0376,0.40568,0.89325,0.82861,0.92449,1,0.995,0.92029,0.34304,1.98962,0.87216,0.00045448,0.00045448,0.00045448
48,36.5921,0.43265,0.85627,0.87448,0.92449,1,0.995,0.92029,0.34304,1.98962,0.87216,0.00045402,0.00045402,0.00045402
49,37.169,0.34563,0.87812,0.87766,0.95536,1,0.995,0.995,0.31092,2.04987,0.86549,0.00045312,0.00045312,0.00045312
50,37.7462,0.3368,0.80731,0.87224,0.95536,1,0.995,0.995,0.31092,2.04987,0.86549,0.00045178,0.00045178,0.00045178
51,38.5291,0.39897,0.84123,0.83609,1,0.88934,0.995,0.94504,0.39568,2.04075,0.87326,0.00045,0.00045,0.00045
52,39.3462,0.38625,1.01493,0.83153,1,0.88934,0.995,0.94504,0.39568,2.04075,0.87326,0.00044778,0.00044778,0.00044778
53,40.2975,0.46785,0.95772,0.82014,1,0.88934,0.995,0.94504,0.39568,2.04075,0.87326,0.00044512,0.00044512,0.00044512
54,41.0838,0.39354,0.8282,0.82332,1,0.87004,0.995,0.8955,0.49464,1.94126,0.88211,0.00044202,0.00044202,0.00044202
55,41.6609,0.38269,1.00766,0.7826,1,0.87004,0.995,0.8955,0.49464,1.94126,0.88211,0.00043848,0.00043848,0.00043848
56,42.1777,0.34709,0.84805,0.87603,1,0.87004,0.995,0.8955,0.49464,1.94126,0.88211,0.0004345,0.0004345,0.0004345
57,42.7474,0.3782,0.81798,0.85838,1,0.90968,0.995,0.8955,0.4096,1.85637,0.86869,0.00043008,0.00043008,0.00043008
58,43.3031,0.39094,0.87556,0.92104,1,0.90968,0.995,0.8955,0.4096,1.85637,0.86869,0.00042522,0.00042522,0.00042522
59,43.8256,0.44875,0.90035,0.88195,1,0.90968,0.995,0.8955,0.4096,1.85637,0.86869,0.00041992,0.00041992,0.00041992
60,44.4002,0.43776,0.8994,0.81076,1,0.86044,0.995,0.94504,0.35037,1.88324,0.86101,0.00041418,0.00041418,0.00041418
